,Ticker,Date,Time,Title,Score
0,AMZN,2024-10-19,11:32PM,"Tesla, Amazon  even Boeing  will move markets this week",0.1779
1,AMZN,2024-10-19,08:30PM,Could Buying Rivian Automotive Stock Today Set You Up for Life?,0.0
2,AMZN,2024-10-19,04:38PM,Amazons Q3 Earnings Preview: Will AWS Drive Growth Amid Margin Pressures?,0.0516
3,AMZN,2024-10-19,03:30PM,Big Tech Is Going Nuclear   Here's the Best Way to Profit,0.7964
4,AMZN,2024-10-19,09:15AM,"Nvidia to win the race to $4 trillion market cap, experts say",0.5859
6,AMZN,2024-10-19,09:00AM,"Elon Musk's Tesla robot trick, Amazon's color Kindle, and EV buyer's remorse: Tech news roundup",-0.3182
7,AMZN,2024-10-19,09:00AM,"Boeing layoffs, Facebook firings, meat recalls, and Big Tech goes nuclear: Business news roundup",0.0
8,AMZN,2024-10-19,05:45AM,"Got $3,000? 2 Artificial Intelligence (AI) Stocks to Buy and Hold for the Long Term.",0.4767
9,AMZN,2024-10-19,05:00AM,"Bad EVs, a giant meat recall, Amazon goes nuclear, and the safest cities: The week's most popular stories",0.4576
10,AMZN,2024-10-19,04:10AM,"1 Streaming Stock to Buy Hand Over Fist, and 1 to Avoid",0.25
11,AMZN,2024-10-18,06:00PM,Where Amazon Might Be Taking Whole Foods,0.1779
12,AMZN,2024-10-18,05:25PM,IBD Stock Of The Day: Amazon's Latin America Rival MercadoLibre Leads E-Commerce Group,0.0
13,AMZN,2024-10-18,05:01PM,"Meet the Unstoppable Stock That Could Join Apple, Nvidia, Microsoft, Alphabet, Amazon, Meta, and Taiwan Semiconductor Manufacturing in the $1 Trillion Club by 2035",0.2732
14,AMZN,2024-10-18,04:23PM,"AWS CEO Urges Office Return, Suggests Unhappy Employees Leave",-0.4588
15,AMZN,2024-10-18,04:20PM,Nuclear-energy ETFs surge as uranium prices remain rangebound. Is now a good time to invest?,0.4404
17,AMZN,2024-10-18,03:30PM,Will One Amazon Employee Tank the Tech Giant?,0.1779
18,AMZN,2024-10-18,03:08PM,"IBD Sector Leaders: Top Picks To Watch Include MercadoLibre, ServiceNow",0.2023
19,AMZN,2024-10-18,01:58PM,Trade Tracker: Kevin Simpson sells Amazon covered call,0.1779
20,AMZN,2024-10-18,01:57PM,Utilities outperform the broader markets amid enthusiasm over AI electricity demand,0.34
21,AMZN,2024-10-18,01:52PM,Amazon testing small-format grocery store in Chicago,0.1779
22,AMZN,2024-10-18,12:56PM,Why NuScale Power Shares Popped 55% This Week,0.296
23,AMZN,2024-10-18,12:30PM,Why Lamb Weston Stock Was Climbing Today,0.0
24,AMZN,2024-10-18,11:00AM,Amazon boss tells workers they can quit if they don't want to come to the office,0.1225
25,AMZN,2024-10-18,10:30AM,Amazon has made a big change to how it ships packages,0.1779
26,AMZN,2024-10-18,10:17AM,Amazon Sets Third Quarter Earnings Date. Why Its Starlink Competitor Will Be In Focus.,0.1779
